"package_name","categories","is_essential","website_url","repo_url","date_added","notes"
"ggtree","annotations|geoms",FALSE,"https://yulab-smu.top/treedata-book/","https://github.com/YuLab-SMU/ggtree/","1900-01-01",""
"ggtreeExtra","geoms",FALSE,"https://bioconductor.org/packages/devel/bioc/vignettes/ggtreeExtra/inst/doc/ggtreeExtra.html","https://github.com/YuLab-SMU/ggtreeExtra/","1900-01-01",""
"ggtrendline","stats",FALSE,NA,"https://github.com/PhDMeiwp/ggtrendline/","1900-01-01",""
"ggtricks","geoms",FALSE,"https://abdoulma.github.io/ggtricks/","https://github.com/AbdoulMa/ggtricks/","1900-01-01",""
"gguidance","scales_and_guides",FALSE,"https://teunbrand.github.io/gguidance/","https://github.com/teunbrand/gguidance/","1900-01-01",""
"ggupset","geoms",FALSE,NA,"https://github.com/const-ae/ggupset/","1900-01-01",""
"ggvanced","geoms",FALSE,"https://medium.com/towards-data-science/ggvanced-a-package-for-generating-advanced-data-visualizations-on-top-of-the-ggplot2-package-2a935763a4b/","https://github.com/Ringomed/ggvanced/","1900-01-01",""
"ggvenn","geoms",FALSE,NA,"https://github.com/yanlinlin82/ggvenn/","1900-01-01",""
"ggview","finishing_touches",FALSE,NA,"https://github.com/idmn/ggview/","1900-01-01",""
"ggvis","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggvolc","stats",FALSE,NA,"https://github.com/loukesio/ggvolc/","1900-01-01",""
"ggvoronoi","maps",FALSE,NA,"https://github.com/garretrc/ggvoronoi/","1900-01-01",""
"ggvwline","geoms",FALSE,NA,"https://github.com/Hy4m/ggvwline/","1900-01-01",""
"ggwaffle","geoms|scales_and_guides",FALSE,"https://liamgilbey.github.io/ggwaffle/","https://github.com/liamgilbey/ggwaffle/","1900-01-01",""
"ggweekly","geoms",FALSE,NA,"https://github.com/gadenbuie/ggweekly/","1900-01-01",""
"ggwordcloud","geoms",FALSE,"https://lepennec.github.io/ggwordcloud/","https://github.com/lepennec/ggwordcloud/","1900-01-01",""
"ggx","helpers",FALSE,"https://brandmaier.github.io/ggx/","https://github.com/brandmaier/ggx/","1900-01-01",""
"ggxmean","stats",FALSE,"https://evamaerey.github.io/ggxmean/","https://github.com/evamaerey/ggxmean/","1900-01-01",""
"grafify","stats",FALSE,"https://grafify-vignettes.netlify.app/","https://github.com/ashenoy-cmbi/grafify/","1900-01-01",""
"granovaGG","stats",FALSE,NA,"https://github.com/briandk/granovaGG/","1900-01-01",""
"graphlayouts","networks",FALSE,"https://schochastics.github.io/graphlayouts/","https://github.com/schochastics/graphlayouts/","1900-01-01",""
"gratia","stats",FALSE,"https://gavinsimpson.github.io/gratia/","https://github.com/gavinsimpson/gratia/","1900-01-01",""
"gridExtra","arranging_plots",FALSE,NA,NA,"1900-01-01",""
"gtable","arranging_plots",FALSE,"https://gtable.r-lib.org/","https://github.com/r-lib/gtable/","1900-01-01",""
"halfmoon","stats",FALSE,"https://r-causal.github.io/halfmoon/","https://github.com/r-causal/halfmoon/","1900-01-01",""
"harrypotter","scales_and_guides",FALSE,NA,"https://github.com/aljrico/harrypotter/","1900-01-01",""
"hdrcde","stats",FALSE,"https://pkg.robjhyndman.com/hdrcde/","https://github.com/robjhyndman/hdrcde/","1900-01-01",""
"heatmaply","interactive_plots",FALSE,"https://talgalili.github.io/heatmaply/","https://github.com/talgalili/heatmaply/","1900-01-01",""
"hrbrthemes","themes",FALSE,"https://cinc.rud.is/web/packages/hrbrthemes/","https://github.com/hrbrmstr/hrbrthemes/","1900-01-01",""
"humapr","maps",FALSE,"https://epiben.github.io/humapr/","https://github.com/epiben/humapr/","1900-01-01",""
"hyperSpec","geoms|maps",FALSE,"https://r-hyperspec.github.io/hySpc.ggplot2/","https://github.com/r-hyperspec/hySpc.ggplot2/","1900-01-01",""
